"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Bottle","02-Nov-2019 6:54 PM","02-Nov-2019 7:03 PM","195ml, breast milk"
"Feeding","Bottle","02-Nov-2019 4:22 PM","02-Nov-2019 4:29 PM","125ml, breast milk"
"Feeding","Bottle","02-Nov-2019 1:39 PM","02-Nov-2019 1:46 PM","150ml, breast milk"
"Feeding","Bottle","02-Nov-2019 8:40 AM","02-Nov-2019 8:47 AM","160ml, breast milk"
"Feeding","Bottle","01-Nov-2019 11:30 PM","01-Nov-2019 11:35 PM","145ml, breast milk"
"Feeding","Bottle","01-Nov-2019 7:35 PM","01-Nov-2019 7:40 PM","110ml, breast milk"
"Feeding","Bottle","01-Nov-2019 6:26 PM","01-Nov-2019 6:35 PM","80ml, breast milk"
"Feeding","Bottle","01-Nov-2019 4:08 PM","01-Nov-2019 4:15 PM","160ml, breast milk"
"Feeding","Bottle","01-Nov-2019 1:37 PM","01-Nov-2019 1:42 PM","150ml, breast milk"
"Feeding","Bottle","01-Nov-2019 9:30 AM","01-Nov-2019 9:38 AM","180ml, breast milk"
"Feeding","Bottle","31-Oct-2019 11:35 PM","31-Oct-2019 11:43 PM","140ml, breast milk"
"Feeding","Bottle","31-Oct-2019 10:55 PM","31-Oct-2019 10:59 PM","45ml, breast milk"
"Feeding","Bottle","31-Oct-2019 7:04 PM","31-Oct-2019 7:10 PM","175ml, breast milk"
"Feeding","Bottle","31-Oct-2019 4:36 PM","31-Oct-2019 4:42 PM","150ml, breast milk"
"Feeding","Bottle","31-Oct-2019 12:29 PM","31-Oct-2019 12:38 PM","185ml, breast milk"
"Feeding","Bottle","31-Oct-2019 8:48 AM","31-Oct-2019 8:55 AM","160ml, breast milk"
"Feeding","Bottle","30-Oct-2019 9:05 PM","30-Oct-2019 9:12 PM","140ml, breast milk"
"Feeding","Bottle","30-Oct-2019 4:50 PM","30-Oct-2019 5:00 PM","205ml, breast milk"
"Feeding","Bottle","30-Oct-2019 2:40 PM","30-Oct-2019 2:45 PM","110ml, breast milk"
"Feeding","Bottle","30-Oct-2019 11:56 AM","30-Oct-2019 12:00 PM","100ml, breast milk"
"Feeding","Bottle","30-Oct-2019 9:09 AM","30-Oct-2019 9:15 AM","110ml, breast milk"
"Feeding","Bottle","29-Oct-2019 11:42 PM","29-Oct-2019 11:51 PM","205ml, breast milk"
"Feeding","Bottle","29-Oct-2019 9:11 PM","29-Oct-2019 9:18 PM","160ml, breast milk"
"Feeding","Bottle","29-Oct-2019 5:45 PM","29-Oct-2019 5:53 PM","175ml, breast milk"
"Feeding","Bottle","29-Oct-2019 1:17 PM","29-Oct-2019 1:27 PM","200ml, breast milk"
"Feeding","Bottle","29-Oct-2019 10:10 AM","29-Oct-2019 10:15 AM","100ml, breast milk"
"Feeding","Bottle","28-Oct-2019 11:43 PM","28-Oct-2019 11:46 PM","70ml, breast milk"
"Feeding","Bottle","28-Oct-2019 9:22 PM","28-Oct-2019 9:28 PM","145ml, breast milk"
"Feeding","Bottle","28-Oct-2019 6:35 PM","28-Oct-2019 6:40 PM","150ml, breast milk"
"Feeding","Bottle","28-Oct-2019 3:05 PM","28-Oct-2019 3:10 PM","180ml, breast milk"
"Feeding","Bottle","28-Oct-2019 12:08 PM","28-Oct-2019 12:15 PM","150ml, breast milk"
"Feeding","Bottle","28-Oct-2019 9:01 AM","28-Oct-2019 9:06 AM","175ml, breast milk"
"Feeding","Bottle","27-Oct-2019 10:42 PM","27-Oct-2019 10:50 PM","150ml, breast milk"
"Feeding","Bottle","27-Oct-2019 7:53 PM","27-Oct-2019 8:01 PM","150ml, breast milk"
"Feeding","Bottle","27-Oct-2019 4:04 PM","27-Oct-2019 4:13 PM","220ml, breast milk"
"Feeding","Bottle","27-Oct-2019 11:44 AM","27-Oct-2019 11:53 AM","230ml, breast milk"
"Feeding","Bottle","27-Oct-2019 9:09 AM","27-Oct-2019 9:15 AM","120ml, breast milk"
"Feeding","Bottle","26-Oct-2019 9:18 PM","26-Oct-2019 9:27 PM","180ml, breast milk"
"Feeding","Bottle","26-Oct-2019 4:55 PM","26-Oct-2019 5:00 PM","160ml, breast milk"
"Feeding","Bottle","26-Oct-2019 12:10 PM","26-Oct-2019 12:17 PM","140ml, breast milk"
"Feeding","Bottle","26-Oct-2019 9:00 AM","26-Oct-2019 9:07 AM","150ml, breast milk"
"Feeding","Bottle","25-Oct-2019 10:05 PM","25-Oct-2019 10:10 PM","100ml, breast milk"
"Feeding","Bottle","25-Oct-2019 8:25 PM","25-Oct-2019 8:28 PM","60ml, breast milk"
"Feeding","Bottle","25-Oct-2019 5:37 PM","25-Oct-2019 5:46 PM","175ml, breast milk"
"Feeding","Bottle","25-Oct-2019 2:30 PM","25-Oct-2019 2:35 PM","125ml, breast milk"
"Feeding","Bottle","25-Oct-2019 11:22 AM","25-Oct-2019 11:29 AM","165ml, breast milk"
"Feeding","Bottle","25-Oct-2019 7:56 AM","25-Oct-2019 8:00 AM","110ml, breast milk"
"Feeding","Bottle","24-Oct-2019 9:40 PM","24-Oct-2019 9:49 PM","175ml, breast milk"
"Feeding","Bottle","24-Oct-2019 7:10 PM","24-Oct-2019 7:16 PM","150ml, breast milk"
"Feeding","Bottle","24-Oct-2019 4:19 PM","24-Oct-2019 4:23 PM","150ml, breast milk"
"Feeding","Bottle","24-Oct-2019 12:55 PM","24-Oct-2019 1:00 PM","170ml, breast milk"
"Feeding","Bottle","24-Oct-2019 9:50 AM","24-Oct-2019 9:57 AM","150ml, breast milk"
"Feeding","Bottle","23-Oct-2019 9:36 PM","23-Oct-2019 9:43 PM","115ml, breast milk"
"Feeding","Bottle","23-Oct-2019 7:13 PM","23-Oct-2019 7:18 PM","150ml, breast milk"
"Feeding","Bottle","23-Oct-2019 3:44 PM","23-Oct-2019 3:53 PM","195ml, breast milk"
"Feeding","Bottle","23-Oct-2019 12:48 PM","23-Oct-2019 12:53 PM","150ml, breast milk"
"Feeding","Bottle","23-Oct-2019 8:45 AM","23-Oct-2019 8:49 AM","150ml, breast milk"
"Feeding","Bottle","22-Oct-2019 11:14 PM","22-Oct-2019 11:17 PM","80ml, breast milk"
"Feeding","Bottle","22-Oct-2019 9:18 PM","22-Oct-2019 9:25 PM","150ml, breast milk"
"Feeding","Bottle","22-Oct-2019 6:46 PM","22-Oct-2019 6:52 PM","100ml, breast milk"
"Feeding","Bottle","22-Oct-2019 2:43 PM","22-Oct-2019 2:51 PM","145ml, breast milk"
"Feeding","Bottle","22-Oct-2019 11:57 AM","22-Oct-2019 12:05 PM","150ml, breast milk"
"Feeding","Bottle","22-Oct-2019 8:16 AM","22-Oct-2019 8:22 AM","170ml, breast milk"
"Feeding","Bottle","21-Oct-2019 11:12 PM","21-Oct-2019 11:18 PM","135ml, breast milk"
"Feeding","Bottle","21-Oct-2019 9:00 PM","21-Oct-2019 9:06 PM","140ml, breast milk"
"Feeding","Bottle","21-Oct-2019 4:53 PM","21-Oct-2019 5:00 PM","165ml, breast milk"
"Feeding","Bottle","21-Oct-2019 12:18 PM","21-Oct-2019 12:27 PM","185ml, breast milk"
